sentence,is_citation,Multi_Citation_Flag,is_narrative,ground_truth,BART_pred,T5_pred,SciBERT_pred,RoBERTa_pred,DeepSeek_pred,LLaMA3_pred,BART_is_correct,T5_is_correct,SciBERT_is_correct,RoBERTa_is_correct,DeepSeek_is_correct,LLaMA3_is_correct,Citation_Relative_Position,Sentence_Length,Negation_Count,Semantic_Depth,BART_shap_pos,BART_shap_keyword_token,BART_shap_pos_abs_dist,T5_shap_pos,T5_shap_keyword_token,T5_shap_pos_abs_dist,SCIBERT_shap_pos,SCIBERT_shap_keyword_token,SCIBERT_shap_pos_abs_dist,ROBERTA_shap_pos,ROBERTA_shap_keyword_token,ROBERTA_shap_pos_abs_dist,DEEPSEEK_shap_pos,DEEPSEEK_shap_keyword_token,DEEPSEEK_shap_pos_abs_dist,LLAMA3_shap_pos,LLAMA3_shap_keyword_token,LLAMA3_shap_pos_abs_dist,BART_is_error,T5_is_error,SciBERT_is_error,RoBERTa_is_error,DeepSeek_is_error,LLaMA3_is_error,Negation_Norm,BART_HI_Score,T5_HI_Score,SciBERT_HI_Score,RoBERTa_HI_Score,DeepSeek_HI_Score,LLaMA3_HI_Score,Global_Gap,HPI_global
This comprehensive study's design was directly informed by the exceptional control measures applied in the seminal work by Lee (2020).,1,0,1,2,2,2,2,2,2,2,1,1,1,1,1,1,0.9051,20,0,0,0.4583333333333333,exceptional ,0.4467666666666667,0.7307692307692307,al ,0.1743307692307693,0.8148148148148148,(,0.0902851851851852,0.7083333333333334,seminal ,0.1967666666666666,0.6666666666666666, seminal,0.2384333333333333,0.4583333333333333, exceptional,0.4467666666666667,0,0,0,0,0,0,0.0,0.7237798642602534,-0.3958089056242758,0.0848249774623822,0.8426490714740494,0.2295782998955154,0.4312988249780413,0.21759999999999996,0.43320884437146734
"According to [37], the proposed methodology has revolutionized computational efficiency.",1,0,1,2,2,2,2,2,2,2,1,1,1,1,1,1,0.1477,10,0,1,0.3333333333333333,"], ",0.1856333333333333,0.2857142857142857,"], ",0.1380142857142857,0.1875,[,0.0398,0.2,[,0.0523,0.2, [,0.0523,0.2142857142857142, [,0.0665857142857142,0,0,0,0,0,0,0.0,2.890965459038332,0.7039187930527322,1.6007234974434172,2.556544121944782,1.6747972008489185,0.6992188214235997,0.0594428571428571,1.6934033462506832
"Xie et al. [74], for the first time, demonstrated CO2 methanation over protonic cells with BaCe0·5Zr0·3Y0·16Zn0·04O3−δ electrolyte using water as a proton source.",1,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,0.0679,23,0,1,0.0491803278688524,et ,0.0187196721311476,0.03125,i,0.03665,0.1346153846153846,],0.0667153846153846,0.2295081967213114,demonstrated ,0.1616081967213115,0.2631578947368421, demonstrated,0.195257894736842,0.1071428571428571, [,0.0392428571428571,0,0,0,0,0,0,0.0,2.620558653737803,0.9340611091509768,1.6260111112275442,3.0246541531410345,1.8124458675495736,0.6728226217132586,0.05297912087912085,1.6805350203447311
"Hobbs et al. 1988; Charniak & Goldman, 1988).",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6383,8,0,1,0.1764705882352941,bs ,0.4618294117647059,0.4,; ,0.2382999999999999,0.1666666666666666,et ,0.4716333333333333,0.9411764705882352,).,0.3028764705882353,0.3333333333333333,1,0.3049666666666666,0.2857142857142857,.,0.3525857142857143,0,0,0,0,0,0,0.0,3.3384141499797777,0.4762253170454492,2.0064407000207014,3.629632536010957,1.9180802307955156,0.9753170023018805,0.32877619047619044,2.2296054697987007
"3 Evaluation We trained our model parameters on a subset of the provided dev2006 development set, optimizing for case-insensitive IBM-style BLEU (Papineni et al., 2002) with several iterations of minimum error rate training on n-best lists.",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6033,36,0,1,0.0727272727272727,trained ,0.5305727272727272,0.3125,", ",0.2907999999999999,0.7407407407407407,with ,0.1374407407407407,0.9454545454545454,best ,0.3421545454545455,0.396551724137931, for,0.2067482758620689,0.3962264150943396, for,0.2070735849056603,0,0,0,0,0,0,0.0,3.449781069849648,0.3570268093065938,1.6924591860367957,3.797840057518925,1.8235095142595463,0.8348427567859436,0.2489367924528301,2.0706572466690423
The model proposed in [17] has demonstrated outstanding generalization capabilities.,1,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,0.2619,10,0,1,0.6666666666666666,outstanding ,0.4047666666666666,0.0,The ,0.2619,0.3571428571428571,[,0.0952428571428571,0.3333333333333333,[,0.0714333333333333,0.7142857142857143, demonstrated,0.4523857142857143,0.7142857142857143, outstanding,0.4523857142857143,0,0,0,0,0,0,0.0,3.2459702212294017,0.4226427497571253,1.6528133181371076,2.6384822156303835,2.060024370280754,1.0716617521328329,0.3333333333333333,2.2386780552342636
"The assumptions underlying the research in [162] are unrealistic, making the proposed approach ill-suited for addressing practical challenges in modern computational tasks.",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.25,22,0,1,0.3666666666666666,unrealistic,0.1166666666666665,0.375,unrealistic,0.125,0.2413793103448276,[,0.0086206896551724,0.2333333333333333,[,0.0166666666666666,0.4333333333333333, unrealistic,0.1833333333333333,0.3928571428571428, unrealistic,0.1428571428571428,0,0,0,0,0,0,0.0,2.779236701360613,0.7334670489847314,1.57142982881032,2.40394512865226,1.8009641653238622,0.7728496000304499,0.12083333333333325,1.8156225431527524
"4This was a straightforward task; two annotators annotated independently, with very high agreementkappa score of over 0.95 (Carletta, 1996).",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8732,19,0,1,0.9705882352941176,).,0.0973882352941176,0.6944444444444444,of ,0.1787555555555555,0.1428571428571428,straightforward ,0.7303428571428572,0.4705882352941176,very ,0.4026117647058823,0.2432432432432432, annot,0.6299567567567568,0.1428571428571428, straightforward,0.7303428571428572,0,0,0,0,0,0,0.0,2.7480048716762724,0.6114178679391056,2.249504160337416,4.056746815096641,2.231000707654624,1.339995533618782,0.5162842607313195,2.602905811827875
"We also record for each token its derivational root, using the CELEX(Baayen et al. , 1993) database.",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6832,17,0,1,0.7931034482758621,. ,0.109903448275862,0.3714285714285714,using ,0.3117714285714286,0.9285714285714286,database,0.2453714285714285,0.8620689655172413,1993,0.1788689655172413,0.935483870967742,),0.2522838709677418,0.9655172413793104, database,0.2823172413793103,0,0,0,0,0,0,0.0,2.768280017135756,0.3094122761472357,1.7938625131048975,3.0985730289608813,1.8673539900421168,0.9074813465586884,0.24882764976958516,2.0704399600161008
"Giving the increasing sophistication of probabilistic linguistic models (for example, Collins (1997) has a statistical approach to learning gap-threading rules) a probabilistic extension of our work is attractive--it will be interesting to see how far an integration of 'logical' and statistical can go.",1,0,1,1,1,1,2,2,1,1,1,1,0,0,1,1,0.2843,43,0,1,0.2741935483870967,1997,0.0101064516129033,0.0806451612903225,probabil,0.2036548387096774,0.6271186440677966,attractive,0.3428186440677966,0.2741935483870967,1997,0.0101064516129032,0.6949152542372882,it,0.4106152542372882,0.6551724137931034, attractive,0.3708724137931034,0,0,1,1,0,0,0.0,2.606604892092936,0.5548853461155141,1.885416380345652,2.3758511469968786,2.019805198448916,0.992970584358726,0.273236741388737,2.1190347870955586
"According to [33], the conclusions drawn are based on insufficient experimental validation.",1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0.1429,12,1,0,0.75,insufficient ,0.6071,0.7647058823529411,sufficient ,0.6218058823529411,0.7647058823529411,insufficient ,0.6218058823529411,0.1875,[,0.0446,0.1875, [,0.0446,0.2666666666666666,33,0.1237666666666666,0,0,0,0,0,0,0.5,1.5324304895209542,-0.941428828523364,0.6393977053397618,0.6679162133021902,0.328732702453356,0.0272875594884745,0.3654333333333333,1.07181350343642
"The findings in [4520] are based on limited data, reducing the reliability of the reported results. Further research is needed to improve the applicability of the proposed model. Despite initial promises, the approach does not perform well under real-world conditions. The study does not address key issues such as scalability and robustness.",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.0468,52,3,0,0.0597014925373134,[,0.0129014925373133,0.3055555555555556,. ,0.2587555555555555,0.546875,Despite ,0.500075,0.0597014925373134,[,0.0129014925373134,0.2, limited,0.1532,0.0625, [,0.0157,0,0,0,0,0,0,1.0,1.118709362238085,0.3532069232973682,0.5802257707185008,1.009085688666271,0.7190885470567734,-0.1692317397652933,0.08445,0.8567087295331218
"First, hierarchical word clusters are derived from unlabeled data using the Brown et al. clustering algorithm (Brown et al., 1992).",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8346,20,0,1,0.9655172413793104,).,0.1309172413793103,0.675,algorithm ,0.1595999999999999,0.0357142857142857,First,0.7988857142857143,0.9310344827586208,1992,0.0964344827586206,0.7586206896551724, al,0.0759793103448276,0.6428571428571429, clustering,0.1917428571428571,0,0,0,0,0,0,0.0,2.8023232022137385,0.6549095562654097,2.313901727894316,2.745549107121162,1.6975970994019614,0.820042805573181,0.14525862068965512,1.864249613506949
"Secondly, we explore the possibility of designing complementary similarity metrics that exploit linguistic information at levels further than lexical. Inspired in the work by Liu and Gildea (2005), who introduced a series of metrics based on constituent/dependency syntactic matching, we have designed three subgroups of syntactic similarity metrics.",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5212,48,0,1,0.5625,who ,0.0413,0.4736842105263157,a ,0.0475157894736842,0.55,2005,0.0288,0.53125,2005,0.01005,0.639344262295082, introduced,0.118144262295082,0.3870967741935484, in,0.1341032258064516,0,0,0,0,0,0,0.0,2.657139687774668,0.9093909017096868,1.590388748168967,2.375609394163424,1.73819611233604,0.7643987588652219,0.044407894736842105,1.6634709993339634
"Weights on the components were assigned using the (Och, 2003) method for max-BLEU training on the development set.",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4397,18,0,1,0.5357142857142857,) ,0.0960142857142857,0.9629629629629628,.,0.5232629629629629,0.4615384615384615,2003,0.0218384615384615,0.4642857142857143,", ",0.0245857142857143,0.2333333333333333, using,0.2063666666666666,0.9642857142857144, set,0.5245857142857143,0,0,0,0,0,0,0.0,2.7457790184186632,-0.1707682057360351,1.5838482250267447,2.437858281912378,1.8231420774205769,1.1413620621307763,0.15119047619047615,1.8760590448786827
"The weights are then averaged across all iterations of the perceptron, as in (Collins, 2002).",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8211,15,0,1,0.7142857142857143,in ,0.1068142857142857,0.6896551724137931,in ,0.1314448275862069,0.8636363636363636,2002,0.0425363636363635,0.9047619047619048,2002,0.0836619047619047,0.625, in,0.1961,0.6086956521739131, as,0.2124043478260869,0,0,0,0,0,0,0.0,2.7632754502637966,0.7188344045864443,1.6032943730893754,2.69085081308798,1.813256698367338,0.8399889593909197,0.1191295566502463,1.8122305802485834
"To support distributed computation (Brants et al., 2007), we further split the N-gram data into shards by hash values of the first bigram.",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2571,23,0,1,0.03125,To ,0.22585,0.0769230769230769,computation ,0.180176923076923,0.2285714285714285,et ,0.0285285714285714,0.40625,we ,0.14915,0.2571428571428571, al,4.285714285712228e-05,0.0303030303030303,To,0.2267969696969697,0,0,0,0,0,0,0.0,2.956118067128312,0.6081907272249059,1.5901337348751816,2.971302190243588,1.624480804870141,0.8538832835749046,0.1646634615384615,1.9028817305994292
"The anonymization guarantee offered by (Miller & White, 2024) is demonstrably weak against determined adversaries with auxiliary data.",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.2868,18,1,0,0.48,2024,0.1931999999999999,0.7586206896551724,adversar,0.4718206896551724,0.6666666666666666,weak ,0.3798666666666666,0.48,2024,0.1931999999999999,0.25, (,0.0368,0.7307692307692307, weak,0.4439692307692307,0,0,0,0,0,0,0.5,0.8618959394560758,-0.6008952827614837,0.4120903295420524,1.3042925576408844,0.3212223820038172,0.336404152010429,0.28653333333333325,0.9147354803623907
"(Taylor & Miller, 2025)'s resource allocation strategy suffered from severe oscillation, leading to unstable network performance during peak demand.",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.0,19,0,1,0.4444444444444444,suffered ,0.4444444444444444,0.78125,unstable ,0.78125,0.2142857142857142,202,0.2142857142857142,0.2592592592592592,)',0.2592592592592592,0.5517241379310345, suffered,0.5517241379310345,0.3214285714285714,)',0.3214285714285714,0,0,0,0,0,0,0.0,3.3102498077715534,-0.7565142977509618,1.7646567800903472,3.442842754747282,2.15567352342542,0.9452385741053004,0.3829365079365079,2.337430509034803
"We show translation results in terms of the automatic BLEU evaluation metric (Papineni et al. , 2002) on the MT03 Arabic-English DARPA evaluation test set consisting of a212a89a212a89a87 sentences with a98a89a212a161a213a89a214a89a215 Arabic words with a95 reference translations.",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2776,37,0,1,0.2948717948717949,", ",0.0172717948717948,0.8901098901098901,Arabic ,0.61250989010989,0.240506329113924,al,0.0370936708860759,0.3076923076923077,2002,0.0300923076923076,0.0098039215686274,We,0.2677960784313725,0.0897435897435897, of,0.1878564102564102,0,0,0,0,0,0,0.0,2.618213034683323,-0.3733986921396932,1.5981808399119126,2.461440151238404,1.8822900988795008,0.8162909142604955,0.11247504057124305,1.798982440448784
"(Liu & Santos, 2018) investigated the security features of blockchain, focusing on how it can prevent fraudulent activities in financial transactions.",1,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,0.0,21,0,1,0.0357142857142857,(,0.0357142857142857,0.84375,activities ,0.84375,0.2413793103448276,) ,0.2413793103448276,0.25,2018,0.25,0.0666666666666666,Liu,0.0666666666666666,0.0357142857142857,(L,0.0357142857142857,0,0,0,0,0,0,0.0,2.6480906072833355,-0.8984172831543611,1.7901118275643628,3.4031901735986176,1.688630312446146,0.6694162155855395,0.15402298850574708,1.881698150516396
"The experimental validation in [142] is flawed due to the lack of comprehensive benchmarking, making it difficult to assess whether the proposed framework truly outperforms state-of-the-art techniques.",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.1542,27,1,0,0.225,flawed ,0.0708,0.2926829268292683,lack ,0.1384829268292682,0.1794871794871795,] ,0.0252871794871794,0.125,[,0.0292,0.282051282051282, flawed,0.127851282051282,0.2432432432432432, flawed,0.0890432432432432,0,0,0,0,0,0,0.5,0.6636030452112315,0.1559306963214933,0.0789548660999459,0.6019660403357305,0.4088921647661843,-0.0062336784173767,0.0799216216216216,0.5034026638906931
"The experimental findings in [275] highlight the effectiveness of the proposed system in solving complex optimization problems, outperforming existing state-of-the-art techniques.",1,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,0.162,21,0,0,0.2121212121212121,] ,0.050121212121212,0.59375,", ",0.4317499999999999,0.1515151515151515,[,0.0104848484848484,0.1515151515151515,[,0.0104848484848484,0.1470588235294117, [,0.0149411764705882,0.1666666666666666, [,0.0046666666666666,0,0,0,0,0,0,0.0,0.0811983677661348,-0.9802658231666824,0.0098507527519553,0.044901140980706,0.0143862850240032,0.0045050985224893,0.012713012477718302,0.02530969413581062
"We therefore ran the dependency model on a test corpus tagged with the POS-tagger of Ratnaparkhi (1996), which is trained on the original Penn Treebank (see HWDep (+ tagger) in Table 3).",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.455,32,0,1,0.9375,Table ,0.4825,0.0,We ,0.455,0.98,.,0.5249999999999999,0.5208333333333334,1996,0.0658333333333333,0.08, the,0.375,0.5957446808510638, trained,0.1407446808510637,0,0,0,0,0,0,0.0,3.371901329448077,-0.0157807139452172,2.0565798927128074,2.614500334551671,1.9855126379086816,0.7708102751456494,0.41500000000000004,2.401264095171472
"The model (Zimmerman, 2022) masterfully handles domain-specific jargon in technical translation tasks.",1,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,0.1058,12,0,1,0.3636363636363636,2022,0.2578363636363636,0.0,The ,0.1058,0.3043478260869565,202,0.1985478260869565,0.3636363636363636,2022,0.2578363636363636,0.12, (,0.0141999999999999,0.4782608695652174,),0.3724608695652174,0,0,0,0,0,0,0.0,3.0079372552150976,0.7770596461006556,1.7498706774863937,3.436749234458764,1.63811217403771,0.994504045019867,0.22819209486166003,2.029357676493002
The conclusions drawn in [517] are not well-supported by the presented data. The authors failed to address fundamental issues in the experimental design.,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.1634,23,2,0,0.3,not ,0.1366,0.9666666666666668,.,0.8032666666666667,0.2580645161290322,] ,0.0946645161290322,0.1666666666666666,[,0.0032666666666666,0.7096774193548387, failed,0.5462774193548388,0.3214285714285714, not,0.1580285714285714,0,0,0,0,0,0,1.0,1.3191058904941606,-0.883077112734452,0.1993334339875884,0.96782475147985,1.0975676984455631,-0.0318308318686745,0.1473142857142857,0.9818620593425127
"The findings in [441] are contradictory to previous well-established research, suggesting possible errors in experimental design or data collection methods that undermine the credibility of the study.",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.08,27,0,0,0.2352941176470588,contradictory ,0.1552941176470588,0.6111111111111112,experimental ,0.5311111111111112,0.1111111111111111,[,0.0311111111111111,0.1764705882352941,] ,0.0964705882352941,0.2857142857142857, contradictory,0.2057142857142856,0.25, contradictory,0.1699999999999999,0,0,0,0,0,0,0.0,0.2515826801261002,-1.2058600359613316,0.0292295939075362,0.41313324547362,0.1980743854823403,0.1641143033192575,0.16264705882352937,0.3238058106312465
"According to [4628], the proposed methodology fails to demonstrate significant improvements over existing techniques. The study does not address key issues such as scalability and robustness. The authors fail to provide sufficient evidence supporting their claims.",1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0.0492,36,3,0,0.2222222222222222,fails ,0.1730222222222222,0.8260869565217391,to ,0.7768869565217391,0.1136363636363636,28,0.0644363636363636,0.2222222222222222,fails ,0.1730222222222222,0.2727272727272727, fails,0.2235272727272727,0.2325581395348837, fails,0.1833581395348837,0,0,0,0,0,0,1.0,1.3781113468607726,-0.8231833587561871,0.1709333997110811,1.6947993132270147,0.7868039771239432,-0.0073782176148796,0.17819018087855293,1.0433313188234263
"As deep learning continues to evolve, concerns about its ethical implications are becoming more pressing [3778]. Future research will likely focus on reducing the risks associated with deep learning-based automation. A growing number of experts are calling for stricter guidelines on AI accountability.",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3477,43,0,1,0.0769230769230769,continues ,0.2707769230769231,0.7358490566037735,growing ,0.3881490566037735,0.2962962962962963,pressing ,0.0514037037037037,0.75,growing ,0.4023,0.3148148148148148, [,0.0328851851851851,1.0,.,0.6523,0,0,0,0,0,0,0.0,3.0289014789456203,0.136000861174114,1.6116254400282162,4.055411689364318,1.656103421268443,1.2646546563891097,0.3294629898403483,2.2309727839478817
"The research in [179] presents a novel and impactful framework that has influenced multiple modern studies, providing key insights into optimization techniques and data processing strategies.",1,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,0.0838,26,0,0,0.125,[,0.0412,0.1818181818181818,presents ,0.0980181818181818,0.1875,] ,0.1037,0.1875,] ,0.1037,0.125, [,0.0412,0.3666666666666666, impactful,0.2828666666666666,0,0,0,0,0,0,0.0,0.0667456474092123,-0.2225451619810111,0.097428499978227,0.4440930478325883,0.039669897759102,0.2730733290131805,0.1008590909090909,0.20079526754174654
"The neuro-symbolic integration by (Garcia & Li, 2024) failed to correctly resolve logical inconsistencies between the symbolic and neural components.",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.2252,20,1,0,0.5161290322580645,2024,0.2909290322580645,0.5833333333333334,correctly ,0.3581333333333333,0.5357142857142857,failed ,0.3105142857142857,0.5161290322580645,2024,0.2909290322580645,0.625, failed,0.3998,0.6, failed,0.3747999999999999,0,0,0,0,0,0,0.5,1.0202208794740446,-0.3427740785264599,0.3469321960212322,1.722815062917772,0.6707411413861972,0.269629680723245,0.33432380952380947,1.0098791244912433
