sentence,is_citation,Multi_Citation_Flag,is_narrative,ground_truth,BART_pred,T5_pred,SciBERT_pred,RoBERTa_pred,DeepSeek_pred,LLaMA3_pred,BART_is_correct,T5_is_correct,SciBERT_is_correct,RoBERTa_is_correct,DeepSeek_is_correct,LLaMA3_is_correct,Citation_Relative_Position,Sentence_Length,Negation_Count,Semantic_Depth
"Because our system uses a synchronous CFG, it could be thought of as an example of syntax-based statistical machine translation (MT), joining a line of research (Wu 1997; Alshawi, Bangalore, and Douglas 2000; Yamada and Knight 2001) that has been fruitful but has not previously produced systems that can compete with phrase-based systems in large-scale translation tasks such as the evaluations held by NIST.",1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0.3908,64,1,1
"The paper in [4717] overstates the impact of its findings, leading to misleading conclusions about its effectiveness. The research presents incremental improvements rather than groundbreaking advancements. Several important benchmarks are missing, making it difficult to evaluate the method's effectiveness. The lack of proper statistical analysis weakens the credibility of the findings.",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.0335,51,1,0
"Bilingual alignments have so far shown that they can play multiple roles in a wide range of linguistic applications, such as computer assisted translation (Isabelle et al. , 1993; Brown et al. , 1990), terminology (Dagan and Church, 1994) lexicography (Langlois, 1996; Klavans and Tzoukermann, 1995; Melamed, 1996), and cross-language information retrieval (Nie et al. , * This research was funded by the Canadian Department of Foreign Affairs and International Trade (http://~.dfait-maeci.gc.ca/), via the Agence de la francophonie (http://~.",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2821,79,0,1
Goodnight! Happy Mothers Day!,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,4,0,1
vector search is crucial in open-domain question answering.,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,8,0,1
"Similarly, Vadhera and Sharma [ 93 ] implemented a hybrid CNN-Transformer model for PE detection in HRCT scans, achieving a sensitivity of 93.24%.",1,0,1,2,2,2,2,2,2,2,1,1,1,1,1,1,0.2055,23,0,1
Looks like it`s going to be a upset for Venus,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,10,0,1
"By doing so we must emphasize that, as described in the previous section, the BLEU score was not designed to deliver satisfactory results at the sentence level (Papineni et al., 2002), and this also applies to the closely related NIST score.",1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0.6626,41,1,1
"Not very intuitive. I couldn't find a way to switch between week, day, or month views.",0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,16,2,1
glad you liked the gmail add-on too. We visual people like the asthetics to be right don`t we.,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,18,0,1
"The generalization ability of deep learning models remains a significant challenge, especially when applied to real-world scenarios [3518]. The unpredictable behavior of some AI models adds another layer of complexity to their deployment.",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5546,33,0,1
"Deep learning continues to revolutionize multiple domains, enhancing automation and efficiency in ways previously unimaginable [3042]. Additionally, research efforts are consistently expanding the capabilities of deep learning models.",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5427,28,0,1
Open-source software is fostering innovation and collaboration among developers worldwide.,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,10,0,1
my finger hurts cause its infected!,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,6,0,1
"I've been looking for an app that can do what HabitBull does and I'm so glad I finally found it. It's a great, easy to use app and the messages you get are so cute.",0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,35,0,1
"The findings in [4534] are based on limited data, reducing the reliability of the reported results. Despite initial promises, the approach does not perform well under real-world conditions. Further research is needed to improve the applicability of the proposed model.",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.0597,40,2,0
oooooo. i like that too! anywhere near mommy is good for me.,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,12,0,1
"The app doesn't have audio alerts, it only displays a notification after you unlock your phone. Please add audio alert feature as well, so that you can get an alert even when you're not using your phone.",0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,37,2,1
talking on the phone with someone I`ve missed a lottt.,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,10,0,1
Effective distributed retrieval leads to more relevant search results and improved user satisfaction.,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,13,0,1
Practical applications demonstrate that society is strongly influenced. This reveals the importance of collaboration.,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,14,0,1
Did not win Kelly Clarkson Tickets. Sorry Cecilia. Really wish I could give that to you! You so much deserve it.,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,21,1,1
Good episode of Top Gear tonight.,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,6,0,1
[35] fails to address key issues that limit its practical use.,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0.0,11,2,0
Researchers have shown that hybrid approaches combine the strengths of multiple methods.,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,12,0,1
Buying my first mac,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,4,0,1
"The claims in [661] are exaggerated, as the improvements demonstrated are marginal at best. The statistical methods used in the study are outdated and insufficient. A deeper theoretical analysis is missing, making the conclusions less convincing. Several key assumptions remain unverified, affecting the reliability of the findings.",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.0422,47,1,0
This comprehensive study's design was directly informed by the exceptional control measures applied in the seminal work by Lee (2020).,1,0,1,2,2,2,2,2,2,2,1,1,1,1,1,1,0.9051,20,0,0
yes - it has put a damper on us 'getting to know' Georgetown! Instead he is watching tv and I am catching up on invoices.,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,25,0,1
"We ran GIZA++ (Och and Ney, 2000) on the training corpus in both directions using its default setting, and then applied the refinement rule diagand described in (Koehn et al. , 2003) to obtain a single many-to-many word alignment for each sentence pair.",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0547,43,0,1
We evaluate the effectiveness of the combined method on a unique manually collected and annotated dataset of Article 8 case law on evictions.,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,23,0,1
http://twitpic.com/3x3wq - impossible to know them closely,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,7,0,1
"According to [37], the proposed methodology has revolutionized computational efficiency.",1,0,1,2,2,2,2,2,2,2,1,1,1,1,1,1,0.1477,10,0,1
Silly boyfriend forgets his phone charger on his 4 day long trip to Kilkenny and now I can`t talk to him and see how his gig went! Poo!,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,28,0,1
"Xie et al. [74], for the first time, demonstrated CO2 methanation over protonic cells with BaCe0·5Zr0·3Y0·16Zn0·04O3−δ electrolyte using water as a proton source.",1,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,0.0679,23,0,1
i cant do anything,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,4,1,1
Comcast sucks.,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,2,0,1
"Hobbs et al. 1988; Charniak & Goldman, 1988).",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6383,8,0,1
Guus`s last game 2moz,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,4,0,1
"For this reason, name classification has been studied in solving the named entity extraction task in the NLP and information extraction communities (see, for example, (Collins and Singer, 1999; Cucerzan and Yarowsky, 1999) and various approaches reported in the MUC conferences (MUC-6, 1995)).",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5623,43,0,1
"3 Evaluation We trained our model parameters on a subset of the provided dev2006 development set, optimizing for case-insensitive IBM-style BLEU (Papineni et al., 2002) with several iterations of minimum error rate training on n-best lists.",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6033,36,0,1
The model proposed in [17] has demonstrated outstanding generalization capabilities.,1,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,0.2619,10,0,1
Buying pretty shiny beads and things I feel quite girlish. http://elisem.livejournal.com/1473318.html,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,11,0,1
"Set up was easy then we could not connect after a week. Reinstalled 3 times, terrible app",0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,17,1,1
"5.2 Experimental Results Following (Langkilde, 2002) and other work on general-purpose generators, BLEU score (Papineni et al., 2002), average NIST simple string accuracy (SSA) and percentage of exactly matched sentences are adopted as evaluation metrics.",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.139,35,0,1
Practical applications demonstrate that data must be analyzed carefully. This reveals the importance of collaboration. (Artificial Intelligence).,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,17,0,1
"The assumptions underlying the research in [162] are unrealistic, making the proposed approach ill-suited for addressing practical challenges in modern computational tasks.",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.25,22,0,1
Recording new songs,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,3,0,1
Bonjour Twitterland !,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,3,0,1
"In modern information systems, distributed databases face synchronization challenges.",0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,9,0,1
This failure highlights how incomplete explanations in critical domains such as healthcare can result in a loss of confidence and effectiveness.,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,21,1,1
"strangely enough, yes. but then it works for me, may not for everyone.",0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,13,1,1
"4This was a straightforward task; two annotators annotated independently, with very high agreementkappa score of over 0.95 (Carletta, 1996).",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8732,19,0,1
"For instance, the most relaxed IBM Model-1, which assumes that any source word can be generated by any target word equally regardless of distance, can be improved by demanding a Markov process of alignments as in HMM-based models (Vogel et al. , 1996), or implementing a distribution of number of target words linked to a source word as in IBM fertility-based models (Brown et al. , 1993).",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5908,67,0,1
"amazing, almost perfect.",0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,3,0,1
"We also record for each token its derivational root, using the CELEX(Baayen et al. , 1993) database.",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6832,17,0,1
"Giving the increasing sophistication of probabilistic linguistic models (for example, Collins (1997) has a statistical approach to learning gap-threading rules) a probabilistic extension of our work is attractive--it will be interesting to see how far an integration of 'logical' and statistical can go.",1,0,1,1,1,1,2,2,1,1,1,1,0,0,1,1,0.2843,43,0,1
About to Enjoy the Silence,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,5,0,1
"According to [33], the conclusions drawn are based on insufficient experimental validation.",1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0.1429,12,1,0
"The findings in [4520] are based on limited data, reducing the reliability of the reported results. Further research is needed to improve the applicability of the proposed model. Despite initial promises, the approach does not perform well under real-world conditions. The study does not address key issues such as scalability and robustness.",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.0468,52,3,0
"First, hierarchical word clusters are derived from unlabeled data using the Brown et al. clustering algorithm (Brown et al., 1992).",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8346,20,0,1
It's working anymore after paying for premium,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,7,0,1
"Secondly, we explore the possibility of designing complementary similarity metrics that exploit linguistic information at levels further than lexical. Inspired in the work by Liu and Gildea (2005), who introduced a series of metrics based on constituent/dependency syntactic matching, we have designed three subgroups of syntactic similarity metrics.",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5212,48,0,1
Just loaned out a set of aerobars to team mate for tomorrow`s Texas Cup race at Alkek. Bummed I won`t be there.,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,22,0,1
"I know. I want it to come bec I`m excited, but then I don`t bec it`s gonna go by so fast & then it will be over",0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,27,0,1
i have a crush on someone!,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,6,0,1
It has been demonstrated that feature selection plays a crucial role in performance. The potential applications extend across diverse scientific domains.,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,21,0,1
today was such a horrible dayy,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,6,0,1
"be clear, I am Catholic, but wholeheartedly agree with you. ('Same here' was ambiguous) #tcot #hhrs",0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,16,0,1
"Weights on the components were assigned using the (Och, 2003) method for max-BLEU training on the development set.",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4397,18,0,1
"However, as Categorial Grammar formalisms do not usually change the lexical entries of words to deal with movement, but use further rules (Wood, 1993; Steedman, 1993; Hockenmaier et al. , 2000), the lexicons learned here will be valid over corpora with movement.",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5206,42,1,1
myfoxdc Barrie Students Back from Trip to China: A Silver Spring high school's class trip to China has en.. http://tinyurl.com/nlhqba,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,20,0,1
"*YAAAWN* Stayed up too late last night, still gotta work & get up super early tomorrow",0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,16,0,1
No habits library,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,3,1,1
"Research shows that students require more learning tools. Hence, careful interpretation is required.",0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,13,0,1
Happy Meal - B.O.B. toy http://tinyurl.com/cjtqaf,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,6,0,1
Creativity is essential in today's society. How might this influence our future?,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,12,0,1
"The weights are then averaged across all iterations of the perceptron, as in (Collins, 2002).",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8211,15,0,1
"To support distributed computation (Brants et al., 2007), we further split the N-gram data into shards by hash values of the first bigram.",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2571,23,0,1
Wow! I am impressed Pastor Lucas! Great work!!!,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,8,0,1
"The anonymization guarantee offered by (Miller & White, 2024) is demonstrably weak against determined adversaries with auxiliary data.",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.2868,18,1,0
I have tied a few calenders. This one is good for multiple accounts. Easy to turn them off and on. Its quite clear on a phone screen,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,27,0,1
"(Taylor & Miller, 2025)'s resource allocation strategy suffered from severe oscillation, leading to unstable network performance during peak demand.",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.0,19,0,1
"We show translation results in terms of the automatic BLEU evaluation metric (Papineni et al. , 2002) on the MT03 Arabic-English DARPA evaluation test set consisting of a212a89a212a89a87 sentences with a98a89a212a161a213a89a214a89a215 Arabic words with a95 reference translations.",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2776,37,0,1
http://twitpic.com/4wkzi - before prom. this is when all the chaos began,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,11,0,1
"Research shows that data must be analyzed carefully. Therefore, further analysis is needed. (Artificial Intelligence).",0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,15,0,1
http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,12,0,1
"(Liu & Santos, 2018) investigated the security features of blockchain, focusing on how it can prevent fraudulent activities in financial transactions.",1,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,0.0,21,0,1
NOOOOOOO my DVR just died and I was only half way through the EA presser. Hate you Time Warner,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,19,0,1
User queries are processed through inverted index.,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,7,0,1
"The experimental validation in [142] is flawed due to the lack of comprehensive benchmarking, making it difficult to assess whether the proposed framework truly outperforms state-of-the-art techniques.",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.1542,27,1,0
"(2005a).5 6.2 Results We performed experiments using three training algorithms: the averaged perceptron (Collins, 2002), log-linear training (via conjugate gradient descent), and max-margin training (via the EG algorithm).",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4688,28,0,1
"The experimental findings in [275] highlight the effectiveness of the proposed system in solving complex optimization problems, outperforming existing state-of-the-art techniques.",1,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,0.162,21,0,0
"We therefore ran the dependency model on a test corpus tagged with the POS-tagger of Ratnaparkhi (1996), which is trained on the original Penn Treebank (see HWDep (+ tagger) in Table 3).",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.455,32,0,1
"All topic models utilize Gibbs sampling for inference (Griffiths, 2002; Blei et al., 2004).",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5789,14,0,1
"The model (Zimmerman, 2022) masterfully handles domain-specific jargon in technical translation tasks.",1,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,0.1058,12,0,1
The conclusions drawn in [517] are not well-supported by the presented data. The authors failed to address fundamental issues in the experimental design.,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.1634,23,2,0
"Mother`s Day breakfast is over, getting back to work now. Back on Rails",0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,13,0,1
"The findings in [441] are contradictory to previous well-established research, suggesting possible errors in experimental design or data collection methods that undermine the credibility of the study.",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.08,27,0,0
"According to [4628], the proposed methodology fails to demonstrate significant improvements over existing techniques. The study does not address key issues such as scalability and robustness. The authors fail to provide sufficient evidence supporting their claims.",1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0.0492,36,3,0
"One of the main sticking points for me is how well an app does recurring tasks. In particular, not just fixed date recurrences, but the ability to set the next date off the last completion date. So many apps fail to offer this. Alas, I could find NO way to do a recurring task at all, in spite of them saying it can be done. So, much less checking on this nuance, I see no way of doing them at all. Fail. Moving on.",0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,84,5,1
"[Francis and Kucera, 1982; Marcus et al. , 1993]), training on a corpus of one type and then applying the tagger to a corpus of a different type usually results in a tagger with low accuracy [Weischedel et al. , 1993].",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0586,41,0,1
"AL has already been applied to several NLP tasks, such as document classification (Schohn and Cohn, 2000), POS tagging (Engelson and Dagan, 1996), chunking (Ngai and Yarowsky, 2000), statistical parsing (Thompson et al. , 1999; Hwa, 2000), and information extraction (Lewis and Catlett, 1994; Thompson et al. , 1999).",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2492,49,0,1
Very Great app to keep everything on list and do it with out fail,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,14,1,1
How are you today!?,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,4,0,1
"From a user perspective, device management handles hardware interactions. Such concerns guide the evolution of operating systems.",0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,17,0,1
"However, such constructions prove to be difficult for stochastic parsers (Collins et al. , 1999) and they either avoid tackling the problem (Charniak, 2000; Bod, 2003) or only deal with a subset of the problematic cases (Collins, 1997).",1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0.3045,38,0,0
"Style transfer can apply the style of one image to another. Specifically, it can transfer the style characteristics of one image, such as color, texture, composition, etc., to another image, making the latter appear as if it has been restyled in the new style of the first.",0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,47,0,1
haha! sorry to hear that,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,5,0,1
"As deep learning continues to evolve, concerns about its ethical implications are becoming more pressing [3778]. Future research will likely focus on reducing the risks associated with deep learning-based automation. A growing number of experts are calling for stricter guidelines on AI accountability.",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3477,43,0,1
"While other systems, such as (Hu and Liu, 2004; Turney, 2002), have addressed these tasks to some degree, OPINE is the first to report results.",1,1,0,0,2,1,1,1,0,0,0,0,0,0,1,1,0.1973,25,0,1
"The research in [179] presents a novel and impactful framework that has influenced multiple modern studies, providing key insights into optimization techniques and data processing strategies.",1,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,0.0838,26,0,0
"The neuro-symbolic integration by (Garcia & Li, 2024) failed to correctly resolve logical inconsistencies between the symbolic and neural components.",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.2252,20,1,0
wants to be sunbathin!!,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,4,0,1
Thank you for FF,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,4,0,1
"According to [579], the proposed method underperforms when applied to real-world scenarios. Various datasets were analyzed to assess the generalizability of the model. Cross-validation was performed to enhance the robustness of the conclusions. Further studies are required to address the identified shortcomings.",1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0.0415,42,0,0
"In [42], the authors propose a framework for using genetic algorithms to optimize energy efficiency. Despite their claims, the lack of a comparative analysis with existing optimization techniques and the reliance on synthetic data significantly weaken the validity of their conclusions.",1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0.0105,41,1,0
"distributed databases face synchronization challenges. Therefore, innovative approaches are constantly being developed.",0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,12,0,1
"For someone who does this on the side, the developer is the most responsive I've ever seen! I've tried at least 6 other popular list apps, and this one is my favorite. It does the best job of laying out lists and sublists that I could find.",0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,47,0,1
"The algorithms were otherwise configured as described in Sect. 4.2, and ran for 50 000 evaluations (500 iterations).",0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,18,0,1
"just arrived at , on about 150 fellows i can`t see a girl!",0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,13,0,1
"Kyriakou et al. [52] used methane as a feedstock and produced hydrogen over a Ni-composite anode. Hydrogen was purified through a BaZrO3-based electrolyte, and ammonia was synthesized over a VN-based cathode. 5%–14% of the pumped protons were converted to ammonia.",1,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,0.0606,40,0,1
"5 The SemCor collection (Miller et al., 1993) is a subset of the Brown Corpus and consists of 352 news articles distributed into three sets in which the nouns, verbs, adverbs, and adjectives have been manually tagged with their corresponding WordNet senses and part-of-speech tags using Brills tagger (1995).",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0806,49,0,1
data compression improves the speed of search engines.,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,8,0,1
"Dlukasrossi Lukas- your amazing wife, her updates are locked! Hard to convince people to follow protected profiles,",0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,17,0,1
"DT can be used to manage classification and regression problems by dividing data based on a classification tree. DT has three types of nodes in structure: the root, internal, and leaf [81,82].",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9583,32,0,1
"AI-driven automation powered by deep learning is raising debates about the potential risks of excessive dependence on technology [3607]. Furthermore, researchers are actively seeking ways to address these limitations. The unpredictable behavior of some AI models adds another layer of complexity to their deployment. Future research will likely focus on reducing the risks associated with deep learning-based automation.",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3071,58,1,1
"Additionally, [125] describes innovative technologies for water consumption monitoring that employ wireless systems and optical sensors, which can be integrated with ML to optimize water consumption and management.",1,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,0.0654,28,0,1
"Among these techniques, SCL (Structural Correspondence Learning) (Blitzer et al., 2006) is regarded as a promising method to tackle transfer-learning problem.",1,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,0.4125,21,0,1
"The ML model for satellite image segmentation by (Foster & Adams, 2024) achieved high precision in border detection.",1,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,0.4153,18,0,1
"The lack of comparison against a relevant commercial benchmark weakens the credibility of (Jensen, 2024)'s findings.",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.7712,16,1,0
